C1	C2	t	debiased_mean	debiased_std	naive_mean	naive_std
0.250000	4.000000	0.100000	0.2530	0.0357	0.2697	0.0357

0.250000	4.000000	0.200000	0.2530	0.0371	0.2697	0.0357

0.250000	4.000000	0.400000	0.2571	0.0420	0.2697	0.0357

0.250000	8.000000	0.006250	0.2530	0.0347	0.2697	0.0357

0.250000	8.000000	0.012500	0.2539	0.0364	0.2697	0.0357

0.250000	8.000000	0.025000	0.2565	0.0382	0.2697	0.0357

0.250000	8.000000	0.050000	0.2554	0.0386	0.2697	0.0357

0.250000	8.000000	0.100000	0.2548	0.0392	0.2697	0.0357

0.250000	8.000000	0.200000	0.2552	0.0396	0.2697	0.0357

0.250000	8.000000	0.400000	0.2558	0.0389	0.2697	0.0357

0.500000	0.125000	0.006250	0.2470	0.0307	0.2604	0.0253

0.500000	0.125000	0.012500	0.2420	0.0270	0.2604	0.0253

0.500000	0.125000	0.025000	0.2450	0.0285	0.2604	0.0253

0.500000	0.125000	0.050000	0.2457	0.0275	0.2604	0.0253

0.500000	0.125000	0.100000	0.2459	0.0273	0.2604	0.0253

0.500000	0.125000	0.200000	0.2472	0.0283	0.2604	0.0253

0.500000	0.125000	0.400000	0.2491	0.0249	0.2604	0.0253

0.500000	0.250000	0.006250	0.2474	0.0310	0.2604	0.0253

0.500000	0.250000	0.012500	0.2418	0.0271	0.2604	0.0253

0.500000	0.250000	0.025000	0.2455	0.0285	0.2604	0.0253

0.500000	0.250000	0.050000	0.2463	0.0277	0.2604	0.0253

0.500000	0.250000	0.100000	0.2465	0.0275	0.2604	0.0253

0.500000	0.250000	0.200000	0.2474	0.0280	0.2604	0.0253

0.500000	0.250000	0.400000	0.2494	0.0249	0.2604	0.0253

0.500000	0.500000	0.006250	0.2459	0.0317	0.2604	0.0253

0.500000	0.500000	0.012500	0.2409	0.0276	0.2604	0.0253

0.500000	0.500000	0.025000	0.2463	0.0274	0.2604	0.0253

0.500000	0.500000	0.050000	0.2470	0.0263	0.2604	0.0253

0.500000	0.500000	0.100000	0.2463	0.0266	0.2604	0.0253

0.500000	0.500000	0.200000	0.2478	0.0268	0.2604	0.0253

0.500000	0.500000	0.400000	0.2485	0.0258	0.2604	0.0253

0.500000	1.000000	0.006250	0.2448	0.0316	0.2604	0.0253

0.500000	1.000000	0.012500	0.2405	0.0272	0.2604	0.0253

0.500000	1.000000	0.025000	0.2463	0.0274	0.2604	0.0253

0.500000	1.000000	0.050000	0.2472	0.0263	0.2604	0.0253

0.500000	1.000000	0.100000	0.2474	0.0260	0.2604	0.0253

0.500000	1.000000	0.200000	0.2463	0.0261	0.2604	0.0253

0.500000	1.000000	0.400000	0.2444	0.0285	0.2604	0.0253

0.500000	2.000000	0.006250	0.2433	0.0317	0.2604	0.0253

0.500000	2.000000	0.012500	0.2372	0.0264	0.2604	0.0253

0.500000	2.000000	0.025000	0.2431	0.0276	0.2604	0.0253

0.500000	2.000000	0.050000	0.2452	0.0261	0.2604	0.0253

0.500000	2.000000	0.100000	0.2459	0.0258	0.2604	0.0253

0.500000	2.000000	0.200000	0.2437	0.0270	0.2604	0.0253

0.500000	2.000000	0.400000	0.2418	0.0287	0.2604	0.0253

0.500000	4.000000	0.006250	0.2413	0.0337	0.2604	0.0253

0.500000	4.000000	0.012500	0.2400	0.0270	0.2604	0.0253

0.500000	4.000000	0.025000	0.2418	0.0275	0.2604	0.0253

0.500000	4.000000	0.050000	0.2411	0.0272	0.2604	0.0253

0.500000	4.000000	0.100000	0.2413	0.0283	0.2604	0.0253

0.500000	4.000000	0.200000	0.2413	0.0274	0.2604	0.0253

0.500000	4.000000	0.400000	0.2407	0.0299	0.2604	0.0253

0.500000	8.000000	0.006250	0.2459	0.0293	0.2604	0.0253

0.500000	8.000000	0.012500	0.2429	0.0251	0.2604	0.0253

0.500000	8.000000	0.025000	0.2437	0.0276	0.2604	0.0253

0.500000	8.000000	0.050000	0.2429	0.0286	0.2604	0.0253

0.500000	8.000000	0.100000	0.2411	0.0290	0.2604	0.0253

0.500000	8.000000	0.200000	0.2422	0.0273	0.2604	0.0253

0.500000	8.000000	0.400000	0.2433	0.0294	0.2604	0.0253

1.000000	0.125000	0.006250	0.2483	0.0351	0.2517	0.0252

1.000000	0.125000	0.012500	0.2396	0.0267	0.2517	0.0252

1.000000	0.125000	0.025000	0.2400	0.0228	0.2517	0.0252

1.000000	0.125000	0.050000	0.2390	0.0230	0.2517	0.0252

1.000000	0.125000	0.100000	0.2381	0.0232	0.2517	0.0252

1.000000	0.125000	0.200000	0.2390	0.0210	0.2517	0.0252

1.000000	0.125000	0.400000	0.2429	0.0236	0.2517	0.0252

1.000000	0.250000	0.006250	0.2472	0.0337	0.2517	0.0252

1.000000	0.250000	0.012500	0.2392	0.0263	0.2517	0.0252

1.000000	0.250000	0.025000	0.2407	0.0218	0.2517	0.0252

1.000000	0.250000	0.050000	0.2396	0.0219	0.2517	0.0252

1.000000	0.250000	0.100000	0.2403	0.0217	0.2517	0.0252

1.000000	0.250000	0.200000	0.2405	0.0219	0.2517	0.0252

1.000000	0.250000	0.400000	0.2420	0.0254	0.2517	0.0252

1.000000	0.500000	0.006250	0.2463	0.0349	0.2517	0.0252

1.000000	0.500000	0.012500	0.2374	0.0279	0.2517	0.0252

1.000000	0.500000	0.025000	0.2403	0.0212	0.2517	0.0252

1.000000	0.500000	0.050000	0.2396	0.0214	0.2517	0.0252

1.000000	0.500000	0.100000	0.2407	0.0211	0.2517	0.0252

1.000000	0.500000	0.200000	0.2383	0.0228	0.2517	0.0252

1.000000	0.500000	0.400000	0.2394	0.0289	0.2517	0.0252

1.000000	1.000000	0.006250	0.2459	0.0334	0.2517	0.0252

1.000000	1.000000	0.012500	0.2372	0.0259	0.2517	0.0252

1.000000	1.000000	0.025000	0.2385	0.0223	0.2517	0.0252

1.000000	1.000000	0.050000	0.2383	0.0218	0.2517	0.0252

1.000000	1.000000	0.100000	0.2381	0.0224	0.2517	0.0252

1.000000	1.000000	0.200000	0.2374	0.0220	0.2517	0.0252

1.000000	1.000000	0.400000	0.2385	0.0294	0.2517	0.0252

1.000000	2.000000	0.006250	0.2424	0.0354	0.2517	0.0252

1.000000	2.000000	0.012500	0.2327	0.0277	0.2517	0.0252

1.000000	2.000000	0.025000	0.2351	0.0218	0.2517	0.0252

1.000000	2.000000	0.050000	0.2353	0.0211	0.2517	0.0252

1.000000	2.000000	0.100000	0.2348	0.0221	0.2517	0.0252

1.000000	2.000000	0.200000	0.2353	0.0212	0.2517	0.0252

1.000000	2.000000	0.400000	0.2338	0.0251	0.2517	0.0252

1.000000	4.000000	0.006250	0.2377	0.0353	0.2517	0.0252

1.000000	4.000000	0.012500	0.2260	0.0240	0.2517	0.0252

1.000000	4.000000	0.025000	0.2281	0.0250	0.2517	0.0252

1.000000	4.000000	0.050000	0.2275	0.0249	0.2517	0.0252

1.000000	4.000000	0.100000	0.2286	0.0241	0.2517	0.0252

1.000000	4.000000	0.200000	0.2299	0.0227	0.2517	0.0252

1.000000	4.000000	0.400000	0.2353	0.0227	0.2517	0.0252

1.000000	8.000000	0.006250	0.2390	0.0295	0.2517	0.0252

1.000000	8.000000	0.012500	0.2307	0.0218	0.2517	0.0252

1.000000	8.000000	0.025000	0.2346	0.0217	0.2517	0.0252

1.000000	8.000000	0.050000	0.2333	0.0216	0.2517	0.0252

1.000000	8.000000	0.100000	0.2335	0.0206	0.2517	0.0252

1.000000	8.000000	0.200000	0.2335	0.0206	0.2517	0.0252

1.000000	8.000000	0.400000	0.2383	0.0245	0.2517	0.0252

2.000000	0.125000	0.006250	0.2348	0.0176	0.2604	0.0339

2.000000	0.125000	0.012500	0.2340	0.0182	0.2604	0.0339

2.000000	0.125000	0.025000	0.2398	0.0152	0.2604	0.0339

2.000000	0.125000	0.050000	0.2385	0.0139	0.2604	0.0339

2.000000	0.125000	0.100000	0.2398	0.0141	0.2604	0.0339

2.000000	0.125000	0.200000	0.2409	0.0131	0.2604	0.0339

2.000000	0.125000	0.400000	0.2442	0.0175	0.2604	0.0339

2.000000	0.250000	0.006250	0.2335	0.0165	0.2604	0.0339

2.000000	0.250000	0.012500	0.2320	0.0180	0.2604	0.0339

2.000000	0.250000	0.025000	0.2405	0.0143	0.2604	0.0339

2.000000	0.250000	0.050000	0.2392	0.0128	0.2604	0.0339

2.000000	0.250000	0.100000	0.2385	0.0127	0.2604	0.0339

2.000000	0.250000	0.200000	0.2407	0.0129	0.2604	0.0339

2.000000	0.250000	0.400000	0.2439	0.0173	0.2604	0.0339

2.000000	0.500000	0.006250	0.2327	0.0172	0.2604	0.0339

2.000000	0.500000	0.012500	0.2316	0.0152	0.2604	0.0339

2.000000	0.500000	0.025000	0.2405	0.0124	0.2604	0.0339

2.000000	0.500000	0.050000	0.2403	0.0107	0.2604	0.0339

2.000000	0.500000	0.100000	0.2403	0.0105	0.2604	0.0339

2.000000	0.500000	0.200000	0.2411	0.0109	0.2604	0.0339

2.000000	0.500000	0.400000	0.2405	0.0155	0.2604	0.0339

2.000000	1.000000	0.006250	0.2323	0.0181	0.2604	0.0339

2.000000	1.000000	0.012500	0.2318	0.0165	0.2604	0.0339

2.000000	1.000000	0.025000	0.2355	0.0175	0.2604	0.0339

2.000000	1.000000	0.050000	0.2351	0.0167	0.2604	0.0339

2.000000	1.000000	0.100000	0.2353	0.0171	0.2604	0.0339

2.000000	1.000000	0.200000	0.2374	0.0170	0.2604	0.0339

2.000000	1.000000	0.400000	0.2398	0.0157	0.2604	0.0339

2.000000	2.000000	0.006250	0.2245	0.0214	0.2604	0.0339

2.000000	2.000000	0.012500	0.2219	0.0197	0.2604	0.0339

2.000000	2.000000	0.025000	0.2312	0.0205	0.2604	0.0339

2.000000	2.000000	0.050000	0.2281	0.0188	0.2604	0.0339

2.000000	2.000000	0.100000	0.2279	0.0188	0.2604	0.0339

2.000000	2.000000	0.200000	0.2316	0.0183	0.2604	0.0339

2.000000	2.000000	0.400000	0.2327	0.0177	0.2604	0.0339

2.000000	4.000000	0.006250	0.2147	0.0220	0.2604	0.0339

2.000000	4.000000	0.012500	0.2147	0.0214	0.2604	0.0339

2.000000	4.000000	0.025000	0.2214	0.0219	0.2604	0.0339

2.000000	4.000000	0.050000	0.2190	0.0195	0.2604	0.0339

2.000000	4.000000	0.100000	0.2199	0.0210	0.2604	0.0339

2.000000	4.000000	0.200000	0.2208	0.0218	0.2604	0.0339

2.000000	4.000000	0.400000	0.2327	0.0198	0.2604	0.0339

2.000000	8.000000	0.006250	0.2262	0.0204	0.2604	0.0339

2.000000	8.000000	0.012500	0.2260	0.0224	0.2604	0.0339

2.000000	8.000000	0.025000	0.2418	0.0218	0.2604	0.0339

2.000000	8.000000	0.050000	0.2377	0.0201	0.2604	0.0339

2.000000	8.000000	0.100000	0.2392	0.0203	0.2604	0.0339

2.000000	8.000000	0.200000	0.2420	0.0206	0.2604	0.0339

2.000000	8.000000	0.400000	0.2502	0.0194	0.2604	0.0339

4.000000	0.125000	0.006250	0.2348	0.0125	0.3290	0.0348

4.000000	0.125000	0.012500	0.2335	0.0124	0.3290	0.0348

4.000000	0.125000	0.025000	0.2400	0.0205	0.3290	0.0348

4.000000	0.125000	0.050000	0.2461	0.0177	0.3290	0.0348

4.000000	0.125000	0.100000	0.2461	0.0179	0.3290	0.0348

4.000000	0.125000	0.200000	0.2459	0.0173	0.3290	0.0348

4.000000	0.125000	0.400000	0.2485	0.0197	0.3290	0.0348

4.000000	0.250000	0.006250	0.2331	0.0104	0.3290	0.0348

4.000000	0.250000	0.012500	0.2320	0.0111	0.3290	0.0348

4.000000	0.250000	0.025000	0.2357	0.0175	0.3290	0.0348

4.000000	0.250000	0.050000	0.2433	0.0159	0.3290	0.0348

4.000000	0.250000	0.100000	0.2442	0.0158	0.3290	0.0348

4.000000	0.250000	0.200000	0.2442	0.0156	0.3290	0.0348

4.000000	0.250000	0.400000	0.2439	0.0140	0.3290	0.0348

4.000000	0.500000	0.006250	0.2327	0.0118	0.3290	0.0348

4.000000	0.500000	0.012500	0.2301	0.0105	0.3290	0.0348

4.000000	0.500000	0.025000	0.2348	0.0147	0.3290	0.0348

4.000000	0.500000	0.050000	0.2400	0.0126	0.3290	0.0348

4.000000	0.500000	0.100000	0.2407	0.0129	0.3290	0.0348

4.000000	0.500000	0.200000	0.2392	0.0125	0.3290	0.0348

4.000000	0.500000	0.400000	0.2420	0.0153	0.3290	0.0348

4.000000	1.000000	0.006250	0.2310	0.0123	0.3290	0.0348

4.000000	1.000000	0.012500	0.2292	0.0102	0.3290	0.0348

4.000000	1.000000	0.025000	0.2329	0.0142	0.3290	0.0348

4.000000	1.000000	0.050000	0.2398	0.0117	0.3290	0.0348

4.000000	1.000000	0.100000	0.2396	0.0116	0.3290	0.0348

4.000000	1.000000	0.200000	0.2413	0.0137	0.3290	0.0348

4.000000	1.000000	0.400000	0.2407	0.0140	0.3290	0.0348

4.000000	2.000000	0.006250	0.2212	0.0149	0.3290	0.0348

4.000000	2.000000	0.012500	0.2203	0.0143	0.3290	0.0348

4.000000	2.000000	0.025000	0.2167	0.0123	0.3290	0.0348

4.000000	2.000000	0.050000	0.2249	0.0120	0.3290	0.0348

4.000000	2.000000	0.100000	0.2251	0.0128	0.3290	0.0348

4.000000	2.000000	0.200000	0.2268	0.0138	0.3290	0.0348

4.000000	2.000000	0.400000	0.2320	0.0192	0.3290	0.0348

4.000000	4.000000	0.006250	0.2203	0.0155	0.3290	0.0348

4.000000	4.000000	0.012500	0.2173	0.0165	0.3290	0.0348

4.000000	4.000000	0.025000	0.2169	0.0148	0.3290	0.0348

4.000000	4.000000	0.050000	0.2197	0.0174	0.3290	0.0348

4.000000	4.000000	0.100000	0.2210	0.0182	0.3290	0.0348

4.000000	4.000000	0.200000	0.2221	0.0150	0.3290	0.0348

4.000000	4.000000	0.400000	0.2353	0.0138	0.3290	0.0348

4.000000	8.000000	0.006250	0.2779	0.0229	0.3290	0.0348

4.000000	8.000000	0.012500	0.2758	0.0221	0.3290	0.0348

4.000000	8.000000	0.025000	0.2942	0.0226	0.3290	0.0348

4.000000	8.000000	0.050000	0.3158	0.0210	0.3290	0.0348

4.000000	8.000000	0.100000	0.3169	0.0208	0.3290	0.0348

4.000000	8.000000	0.200000	0.3255	0.0172	0.3290	0.0348

4.000000	8.000000	0.400000	0.3677	0.0992	0.3290	0.0348

8.000000	0.125000	0.006250	0.2383	0.0130	0.3729	0.0324

8.000000	0.125000	0.012500	0.2355	0.0129	0.3729	0.0324

8.000000	0.125000	0.025000	0.2357	0.0121	0.3729	0.0324

8.000000	0.125000	0.050000	0.2413	0.0183	0.3729	0.0324

8.000000	0.125000	0.100000	0.2420	0.0171	0.3729	0.0324

8.000000	0.125000	0.200000	0.2422	0.0159	0.3729	0.0324

8.000000	0.125000	0.400000	0.2489	0.0157	0.3729	0.0324

8.000000	0.250000	0.006250	0.2353	0.0113	0.3729	0.0324

8.000000	0.250000	0.012500	0.2342	0.0112	0.3729	0.0324

8.000000	0.250000	0.025000	0.2353	0.0102	0.3729	0.0324

8.000000	0.250000	0.050000	0.2422	0.0176	0.3729	0.0324

8.000000	0.250000	0.100000	0.2416	0.0176	0.3729	0.0324

8.000000	0.250000	0.200000	0.2435	0.0158	0.3729	0.0324

8.000000	0.250000	0.400000	0.2455	0.0152	0.3729	0.0324

8.000000	0.500000	0.006250	0.2331	0.0133	0.3729	0.0324

8.000000	0.500000	0.012500	0.2327	0.0135	0.3729	0.0324

8.000000	0.500000	0.025000	0.2329	0.0131	0.3729	0.0324

8.000000	0.500000	0.050000	0.2403	0.0144	0.3729	0.0324

8.000000	0.500000	0.100000	0.2392	0.0144	0.3729	0.0324

8.000000	0.500000	0.200000	0.2379	0.0114	0.3729	0.0324

8.000000	0.500000	0.400000	0.2433	0.0120	0.3729	0.0324

8.000000	1.000000	0.006250	0.2320	0.0129	0.3729	0.0324

8.000000	1.000000	0.012500	0.2323	0.0129	0.3729	0.0324

8.000000	1.000000	0.025000	0.2294	0.0111	0.3729	0.0324

8.000000	1.000000	0.050000	0.2366	0.0141	0.3729	0.0324

8.000000	1.000000	0.100000	0.2364	0.0136	0.3729	0.0324

8.000000	1.000000	0.200000	0.2364	0.0135	0.3729	0.0324

8.000000	1.000000	0.400000	0.2396	0.0108	0.3729	0.0324

8.000000	2.000000	0.006250	0.2208	0.0098	0.3729	0.0324

8.000000	2.000000	0.012500	0.2225	0.0118	0.3729	0.0324

8.000000	2.000000	0.025000	0.2232	0.0126	0.3729	0.0324

8.000000	2.000000	0.050000	0.2277	0.0138	0.3729	0.0324

8.000000	2.000000	0.100000	0.2277	0.0132	0.3729	0.0324

8.000000	2.000000	0.200000	0.2286	0.0115	0.3729	0.0324

8.000000	2.000000	0.400000	0.2301	0.0102	0.3729	0.0324

8.000000	4.000000	0.006250	0.2160	0.0179	0.3729	0.0324

8.000000	4.000000	0.012500	0.2167	0.0143	0.3729	0.0324

8.000000	4.000000	0.025000	0.2173	0.0132	0.3729	0.0324

8.000000	4.000000	0.050000	0.2195	0.0138	0.3729	0.0324

8.000000	4.000000	0.100000	0.2206	0.0138	0.3729	0.0324

8.000000	4.000000	0.200000	0.2219	0.0136	0.3729	0.0324

8.000000	4.000000	0.400000	0.2426	0.0238	0.3729	0.0324

8.000000	8.000000	0.006250	0.3221	0.0200	0.3729	0.0324

8.000000	8.000000	0.012500	0.3310	0.0205	0.3729	0.0324

8.000000	8.000000	0.025000	0.3660	0.0683	0.3729	0.0324

8.000000	8.000000	0.050000	0.5541	0.0000	0.3729	0.0324

8.000000	8.000000	0.100000	0.5541	0.0000	0.3729	0.0324

8.000000	8.000000	0.200000	0.5541	0.0000	0.3729	0.0324

8.000000	8.000000	0.400000	0.5541	0.0000	0.3729	0.0324

